data_label,file,evidence,local_cross_check_not_for_upstream,proposed_upstream_change,confidence,patch_decision
Map_MHZStickyVine,Levels/MHZ/Misc Object Data/Map - Sticky Vine.asm,"Obj_MHZStickyVine assigns Map_MHZStickyVine in sonic3k.asm and the same file defines this mapping data at the matching label; SK Set 2 maps object ID $0A / 10 to Obj_MHZStickyVine; MHZ debug placement references the same mapping label.","Cross-check only: ROM-backed constants and art registration identify the MHZ sticky vine mapping data by verified ROM address.","Rename generic word_* mapping frame label under Map_MHZStickyVine_ to Map_MHZStickyVine_Frame0, preserving the old word_* label as a comment on the definition.",high,patched
Map_MHZSwingBarHorizontal,Levels/MHZ/Misc Object Data/Map - Swing Bar Horizontal.asm,"Obj_MHZSwingBarHorizontal assigns Map_MHZSwingBarHorizontal in sonic3k.asm and the same file defines this mapping data at the matching label; SK Set 2 maps object ID $0B / 11 to Obj_MHZSwingBarHorizontal; MHZ debug placement references the same mapping label.","Cross-check only: ROM-backed constants and art registration identify the MHZ horizontal swing bar mapping data by verified ROM address.","Rename generic word_* mapping frame label under Map_MHZSwingBarHorizontal_ to Map_MHZSwingBarHorizontal_Frame0, preserving the old word_* label as a comment on the definition.",high,patched
Map_MHZSwingBarVertical,Levels/MHZ/Misc Object Data/Map - Swing Bar Vertical.asm,"Obj_MHZSwingBarVertical assigns Map_MHZSwingBarVertical in sonic3k.asm and the same file defines this mapping data at the matching label; SK Set 2 maps object ID $0C / 12 to Obj_MHZSwingBarVertical; MHZ debug placement references the same mapping label.","Cross-check only: ROM-backed constants and art registration identify the MHZ vertical swing bar mapping data by verified ROM address.","Rename generic word_* mapping frame label under Map_MHZSwingBarVertical_ to Map_MHZSwingBarVertical_Frame0, preserving the old word_* label as a comment on the definition.",high,patched
Map_MHZMushroomParachute,Levels/MHZ/Misc Object Data/Map - Mushroom Parachute.asm,"Obj_MHZMushroomParachute assigns Map_MHZMushroomParachute in sonic3k.asm and the same file defines this mapping data at the matching label; SK Set 2 maps object ID $12 / 18 to Obj_MHZMushroomParachute; MHZ debug placement references the same mapping label.","Cross-check only: ROM-backed constants and art registration identify the MHZ mushroom parachute mapping data by verified ROM address.","Rename generic word_* mapping frame label under Map_MHZMushroomParachute_ to Map_MHZMushroomParachute_Frame0, preserving the old word_* label as a comment on the definition.",high,patched
Ani_MHZMushroomPlatform,Levels/MHZ/Misc Object Data/Anim - Mushroom Platform.asm,"Obj_MHZMushroomPlatform loads Ani_MHZMushroomPlatform in sonic3k.asm, and the same file includes this animation script at that label; SK Set 2 maps object ID $11 / 17 to Obj_MHZMushroomPlatform.","Cross-check only: implemented MHZ mushroom platform animation uses the idle and pressed scripts matching the ROM delays, frame IDs, and return-to-idle behavior, with focused tests covering the sequence behavior.","Rename generic byte_* animation sequence labels under Ani_MHZMushroomPlatform_ to Ani_MHZMushroomPlatform_Seq0 and Ani_MHZMushroomPlatform_Seq1, preserving old byte_* labels as comments on the definitions.",high,patched
Map_MHZMushroomPlatform,Levels/MHZ/Misc Object Data/Map - Mushroom Platform.asm,"Obj_MHZMushroomPlatform assigns Map_MHZMushroomPlatform in sonic3k.asm and the same file defines this mapping data at the matching label; SK Set 2 maps object ID $11 / 17 to Obj_MHZMushroomPlatform; MHZ debug placement references the same mapping label.","Cross-check only: ROM-backed constants and art registration identify the MHZ mushroom platform mapping data by verified ROM address, and the implemented object renders through that art key in focused tests.","Rename generic word_* mapping frame labels under Map_MHZMushroomPlatform_ to Map_MHZMushroomPlatform_Frame0 through Map_MHZMushroomPlatform_Frame2, preserving old word_* labels as comments on the definitions.",high,patched
Map_MHZPulleyLift,Levels/MHZ/Misc Object Data/Map - Pulley Lift.asm,"Obj_MHZPulleyLift assigns Map_MHZPulleyLift in sonic3k.asm and the same file defines this mapping data at the matching label; SK Set 2 maps object ID $06 / 6 to Obj_MHZPulleyLift; MHZ debug placement references the same mapping label.","Cross-check only: ROM-backed constants and art registration identify the MHZ pulley lift mapping data by verified ROM address, and the implemented object renders through that art key in focused tests.","Rename generic word_* mapping frame labels under Map_MHZPulleyLift_ to Map_MHZPulleyLift_Frame0 through Map_MHZPulleyLift_Frame7, preserving old word_* labels as comments on the definitions.",high,patched
Ani_MHZMushroomCap,Levels/MHZ/Misc Object Data/Anim - Mushroom Cap.asm,"Obj_MHZMushroomCap loads Ani_MHZMushroomCap in sonic3k.asm, and the same file includes this animation script at that label; SK Set 2 maps object ID $23 / 35 to Obj_MHZMushroomCap.","Cross-check only: implemented MHZ mushroom cap animation uses the idle and bounce scripts matching the ROM delays, frame IDs, and return-to-idle behavior, with focused tests covering the object behavior.","Rename generic byte_* animation sequence labels under Ani_MHZMushroomCap_ to Ani_MHZMushroomCap_Seq0 and Ani_MHZMushroomCap_Seq1, preserving old byte_* labels as comments on the definitions.",high,patched
Map_MHZMushroomCap,Levels/MHZ/Misc Object Data/Map - Mushroom Cap.asm,"Obj_MHZMushroomCap assigns Map_MHZMushroomCap in sonic3k.asm and the same file defines this mapping data at the matching label; SK Set 2 maps object ID $23 / 35 to Obj_MHZMushroomCap; MHZ debug placement references the same mapping label.","Cross-check only: ROM-backed constants and art registration identify the MHZ mushroom cap mapping data by verified ROM address, and the implemented object renders through the light and dark cap art keys in focused tests.","Rename generic word_* mapping frame labels under Map_MHZMushroomCap_ to Map_MHZMushroomCap_Frame0 through Map_MHZMushroomCap_Frame3, preserving old word_* labels as comments on the definitions.",high,patched
Map_MHZMushroomCatapult,Levels/MHZ/Misc Object Data/Map - Mushroom Catapult.asm,"Obj_MHZMushroomCatapult assigns Map_MHZMushroomCatapult in sonic3k.asm and the same file defines this mapping data at the matching label; SK Set 2 maps object ID $13 / 19 to Obj_MHZMushroomCatapult; MHZ debug placement references the same mapping label.","Cross-check only: ROM-backed constants and art registration identify the MHZ mushroom catapult mapping data by verified ROM address, and the implemented object renders through the catapult cap and center art keys in focused tests.","Rename generic word_* mapping frame labels under Map_MHZMushroomCatapult_ to Map_MHZMushroomCatapult_Frame0 and Map_MHZMushroomCatapult_Frame1, preserving old word_* labels as comments on the definitions.",high,patched
