"object id","Sprite_Listing3 target","Sprite_ListingK target","current skdisasm label/comment","proposed comment/name","primary evidence","OpenGGF corroboration","confidence","upstream patch decision"
"$00","Obj_Ring","Obj_Ring","Set1: Obj_Ring; Set2: Obj_Ring","Keep target label; rely on table-level header/hex-ID guidance in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name Ring; Set 2 OpenGGF primary name Ring","High for pointer target and table-selection annotation; no behavior claim","Keep target label; rely on table-level header/hex-ID guidance in pilot patch"
"$01","Obj_Monitor","Obj_Monitor","Set1: Obj_Monitor; Set2: Obj_Monitor","Keep target label; rely on table-level header/hex-ID guidance in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name Monitor; Set 2 OpenGGF primary name Monitor","High for pointer target and table-selection annotation; no behavior claim","Keep target label; rely on table-level header/hex-ID guidance in pilot patch"
"$02","Obj_PathSwap","Obj_PathSwap","Set1: Obj_PathSwap; Set2: Obj_PathSwap","Keep target label; rely on table-level header/hex-ID guidance in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name PathSwap; Set 2 OpenGGF primary name PathSwap","High for pointer target and table-selection annotation; no behavior claim","Keep target label; rely on table-level header/hex-ID guidance in pilot patch"
"$03","Obj_AIZHollowTree","Obj_MHZTwistedVine","Set1: Obj_AIZHollowTree; Set2: Obj_MHZTwistedVine","Differing table targets; document in audit, no label rename in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name AIZHollowTree; Set 2 OpenGGF primary name MHZTwistedVine","High for pointer target and table-selection annotation; no behavior claim","Differing table targets; document in audit, no label rename in pilot patch"
"$04","Obj_CollapsingPlatform","Obj_CollapsingPlatform","Set1: Obj_CollapsingPlatform; Set2: Obj_CollapsingPlatform","Keep target label; rely on table-level header/hex-ID guidance in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name CollapsingPlatform; Set 2 OpenGGF primary name CollapsingPlatform","High for pointer target and table-selection annotation; no behavior claim","Keep target label; rely on table-level header/hex-ID guidance in pilot patch"
"$05","Obj_AIZLRZEMZRock","Obj_AIZLRZEMZRock","Set1: Obj_AIZLRZEMZRock; Set2: Obj_AIZLRZEMZRock","Keep target label; rely on table-level header/hex-ID guidance in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name AIZLRZEMZRock; Set 2 OpenGGF primary name AIZLRZEMZRock","High for pointer target and table-selection annotation; no behavior claim","Keep target label; rely on table-level header/hex-ID guidance in pilot patch"
"$06","Obj_AIZRideVine","Obj_MHZPulleyLift","Set1: Obj_AIZRideVine; Set2: Obj_MHZPulleyLift","Differing table targets; document in audit, no label rename in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name AIZRideVine; Set 2 OpenGGF primary name MHZPulleyLift","High for pointer target and table-selection annotation; no behavior claim","Differing table targets; document in audit, no label rename in pilot patch"
"$07","Obj_Spring","Obj_Spring","Set1: Obj_Spring; Set2: Obj_Spring","Keep target label; rely on table-level header/hex-ID guidance in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name Spring; Set 2 OpenGGF primary name Spring","High for pointer target and table-selection annotation; no behavior claim","Keep target label; rely on table-level header/hex-ID guidance in pilot patch"
"$08","Obj_Spikes","Obj_Spikes","Set1: Obj_Spikes; Set2: Obj_Spikes","Keep target label; rely on table-level header/hex-ID guidance in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name Spikes; Set 2 OpenGGF primary name Spikes","High for pointer target and table-selection annotation; no behavior claim","Keep target label; rely on table-level header/hex-ID guidance in pilot patch"
"$09","Obj_AIZ1Tree","Obj_MHZCurledVine","Set1: Obj_AIZ1Tree; Set2: Obj_MHZCurledVine","Differing table targets; document in audit, no label rename in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name AIZ1Tree; Set 2 OpenGGF primary name MHZCurledVine","High for pointer target and table-selection annotation; no behavior claim","Differing table targets; document in audit, no label rename in pilot patch"
"$0A","Obj_AIZ1ZiplinePeg","Obj_MHZStickyVine","Set1: Obj_AIZ1ZiplinePeg; Set2: Obj_MHZStickyVine","Differing table targets; document in audit, no label rename in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name AIZ1ZiplinePeg; Set 2 OpenGGF primary name MHZStickyVine","High for pointer target and table-selection annotation; no behavior claim","Differing table targets; document in audit, no label rename in pilot patch"
"$0B","Obj_Ring","Obj_MHZSwingBarHorizontal","Set1: Obj_Ring; Set2: Obj_MHZSwingBarHorizontal","Differing table targets; document in audit, no label rename in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 not explicitly named in OpenGGF registry switch; Set 2 OpenGGF primary name MHZSwingBarHorizontal","High for pointer target and table-selection annotation; no behavior claim","Differing table targets; document in audit, no label rename in pilot patch"
"$0C","Obj_AIZGiantRideVine","Obj_MHZSwingBarVertical","Set1: Obj_AIZGiantRideVine; Set2: Obj_MHZSwingBarVertical","Differing table targets; document in audit, no label rename in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name AIZGiantRideVine; Set 2 OpenGGF primary name MHZSwingBarVertical","High for pointer target and table-selection annotation; no behavior claim","Differing table targets; document in audit, no label rename in pilot patch"
"$0D","Obj_BreakableWall","Obj_BreakableWall","Set1: Obj_BreakableWall; Set2: Obj_BreakableWall","Keep target label; rely on table-level header/hex-ID guidance in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name BreakableWall; Set 2 OpenGGF primary name BreakableWall","High for pointer target and table-selection annotation; no behavior claim","Keep target label; rely on table-level header/hex-ID guidance in pilot patch"
"$0E","Obj_TwistedRamp","Obj_TwistedRamp","Set1: Obj_TwistedRamp; Set2: Obj_TwistedRamp","Keep target label; rely on table-level header/hex-ID guidance in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name TwistedRamp; Set 2 OpenGGF primary name TwistedRamp","High for pointer target and table-selection annotation; no behavior claim","Keep target label; rely on table-level header/hex-ID guidance in pilot patch"
"$0F","Obj_CollapsingBridge","Obj_CollapsingBridge","Set1: Obj_CollapsingBridge; Set2: Obj_CollapsingBridge","Keep target label; rely on table-level header/hex-ID guidance in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name CollapsingBridge; Set 2 OpenGGF primary name CollapsingBridge","High for pointer target and table-selection annotation; no behavior claim","Keep target label; rely on table-level header/hex-ID guidance in pilot patch"
