data_label,file,evidence,local_cross_check_not_for_upstream,proposed_upstream_change,confidence,patch_decision
Map_MGZFloatingPlatform,Levels/MGZ/Misc Object Data/Map - Floating Platform.asm,"Obj_FloatingPlatform selects Map_MGZFloatingPlatform for MGZ and sonic3k.asm includes this mapping data at the matching label; MGZ debug placement references the same mapping label.","Cross-check only: ROM-backed constants and art registration identify the MGZ floating platform mapping data by verified ROM address.","Rename generic word_* mapping frame label under Map_MGZFloatingPlatform_ to Map_MGZFloatingPlatform_Frame0.",high,patched
Map_MGZMinibossSpires,Levels/MGZ/Misc Object Data/Map - Miniboss Spires.asm,"The MGZ miniboss art/mapping pointer table references Map_MGZMinibossSpires and sonic3k.asm includes this mapping data at the matching label.","Cross-check only: ROM-backed constants and standalone art registration identify the MGZ miniboss spire mapping data by verified ROM address.","Rename generic word_* mapping frame label under Map_MGZMinibossSpires_ to Map_MGZMinibossSpires_Frame0.",high,patched
Map_MGZTopPlatform,Levels/MGZ/Misc Object Data/Map - Top Platform.asm,"Obj_MGZTopPlatform initializes Map_MGZTopPlatform and sonic3k.asm includes this mapping data at the matching label; MGZ debug placement also references it for the platform and launcher.","Cross-check only: ROM-backed constants and art registration identify the MGZ top platform mapping data by verified ROM address.","Rename generic word_* mapping frame labels under Map_MGZTopPlatform_ to Map_MGZTopPlatform_Frame0..Frame2.",high,patched
Ani_MGZHeadTrigger,Levels/MGZ/Misc Object Data/Anim - Head Trigger.asm,"Obj_MGZHeadTrigger routines load Ani_MGZHeadTrigger and sonic3k.asm includes this animation script at the matching label.","Cross-check only: ROM-backed object implementation and art registration identify the MGZ head trigger animation and mapping data.","Rename generic byte_* animation sequence labels under Ani_MGZHeadTrigger_ to Ani_MGZHeadTrigger_Seq0..Seq2.",high,patched
Map_MGZHeadTrigger,Levels/MGZ/Misc Object Data/Map - Head Trigger.asm,"Obj_MGZHeadTrigger initializes Map_MGZHeadTrigger and lock-on pointer data/debug placement reference the same mapping label.","Cross-check only: ROM-backed constants and art registration identify the MGZ head trigger mapping data by verified ROM address.","Rename generic Frame_* mapping frame labels under Map_MGZHeadTrigger_ to Map_MGZHeadTrigger_Frame0..Frame7.",high,patched
Map_MGZMovingSpikePlatform,Levels/MGZ/Misc Object Data/Map - Moving Spike Platform.asm,"Obj_MGZMovingSpikePlatform initializes Map_MGZMovingSpikePlatform; the MGZ boss art/mapping pointer table and lock-on pointer data reference the same mapping label.","Cross-check only: ROM-backed constants and art registration identify the MGZ moving spike platform mapping data by verified ROM address.","Rename generic Frame_* mapping frame labels under Map_MGZMovingSpikePlatform_ to Map_MGZMovingSpikePlatform_Frame0..Frame3.",high,patched
Map_MGZDashTrigger,Levels/MGZ/Misc Object Data/Map - Dash Trigger.asm,"Obj_MGZDashTrigger initializes Map_MGZDashTrigger and lock-on pointer data/debug placement reference the same mapping label.","Cross-check only: ROM-backed constants and art registration identify the MGZ dash trigger mapping data by verified ROM address.","Rename generic Frame_* mapping frame labels under Map_MGZDashTrigger_ to Map_MGZDashTrigger_Frame0..Frame4.",high,patched
Map_MGZSwingingPlatform,Levels/MGZ/Misc Object Data/Map - Swinging Platform.asm,"Obj_MGZSwingingPlatform initializes Map_MGZSwingingPlatform for the parent and child objects; lock-on pointer data and debug placement reference the same mapping label.","Cross-check only: ROM-backed constants and art registration identify the MGZ swinging platform mapping data by verified ROM address.","Rename generic Frame_* mapping frame labels under Map_MGZSwingingPlatform_ to Map_MGZSwingingPlatform_Frame0..Frame2.",high,patched
Map_MGZSwingingSpikeBall,Levels/MGZ/Misc Object Data/Map - Swinging Spike Ball.asm,"Obj_MGZSwingingSpikeBall initializes Map_MGZSwingingSpikeBall for the parent and child objects; lock-on pointer data and debug placement reference the same mapping label.","Cross-check only: ROM-backed constants and art registration identify the MGZ swinging spike ball mapping data by verified ROM address.","Rename generic Frame_* mapping frame labels under Map_MGZSwingingSpikeBall_ to Map_MGZSwingingSpikeBall_Frame0..Frame3.",high,patched
Map_MGZTriggerPlatform,Levels/MGZ/Misc Object Data/Map - Trigger Platform.asm,"Obj_MGZTriggerPlatform initializes Map_MGZTriggerPlatform and lock-on pointer data/debug placement reference the same mapping label.","Cross-check only: ROM-backed constants and art registration identify the MGZ trigger platform mapping data by verified ROM address.","Rename generic Frame_* mapping frame labels under Map_MGZTriggerPlatform_ to Map_MGZTriggerPlatform_Frame0..Frame1.",high,patched
