data_label,file,evidence,local_cross_check_not_for_upstream,proposed_upstream_change,confidence,patch_decision
Map_LBZMovingPlatform,Levels/LBZ/Misc Object Data/Map - Moving Platform.asm,"Obj_LBZMovingPlatform assigns Map_LBZMovingPlatform in sonic3k.asm and the same file defines this mapping data at the matching label; SK Set 1 maps object ID 17 to Obj_LBZMovingPlatform; LBZ debug placement references the same mapping label.","Cross-check only: ROM-backed constants and art registration identify the LBZ moving platform mapping data by verified ROM address.","Rename generic word_* mapping frame labels under Map_LBZMovingPlatform_ to Map_LBZMovingPlatform_Frame0..Frame2, preserving the old word_* labels as comments on definitions.",high,patched
Map_LBZRideGrapple,Levels/LBZ/Misc Object Data/Map - Ride Grapple.asm,"Obj_LBZRideGrapple assigns Map_LBZRideGrapple in sonic3k.asm and the same file defines this mapping data at the matching label; SK Set 1 maps object ID 23 to Obj_LBZRideGrapple; LBZ debug placement references the same mapping label.","Cross-check only: ROM-backed constants and art registration identify the LBZ ride grapple mapping data by verified ROM address.","Rename generic word_* mapping frame labels under Map_LBZRideGrapple_ to Map_LBZRideGrapple_Frame0..Frame2, preserving the old word_* labels as comments on definitions.",high,patched
Map_LBZUnusedBarPlatform,Levels/LBZ/Misc Object Data/Map - Unused Bar Platform.asm,"The LBZ moving platform routine assigns Map_LBZUnusedBarPlatform to a spawned child in sonic3k.asm and the same file defines this mapping data at the matching label.","Cross-check only: ROM-backed constants and art registration identify the LBZ unused bar platform mapping data by verified ROM address.","Rename generic word_* mapping frame label under Map_LBZUnusedBarPlatform_ to Map_LBZUnusedBarPlatform_Frame0, preserving the old word_* label as a comment on the definition.",high,patched
Ani_LBZFlameThrower,Levels/LBZ/Misc Object Data/Anim - Flame Thrower.asm,"Obj_AutoSpin460 loads Ani_LBZFlameThrower in sonic3k.asm and the same file includes this animation script at the matching label.","Cross-check only: ROM-backed constants and art registration identify the LBZ flame thrower animation data by verified ROM address.","Rename generic byte_* animation sequence label under Ani_LBZFlameThrower_ to Ani_LBZFlameThrower_Seq0, preserving the old byte_* label as a comment on the definition.",high,patched
Map_LBZFlameThrower,Levels/LBZ/Misc Object Data/Map - Flame Thrower.asm,"Obj_LBZFlameThrower assigns Map_LBZFlameThrower in sonic3k.asm; Lockon S3 data defines this mapping data at the matching label; SK Set 1 maps object ID 22 to Obj_LBZFlameThrower; LBZ debug placement references the same mapping label.","Cross-check only: ROM-backed constants and art registration identify the LBZ flame thrower mapping data by verified ROM address.","Rename generic Frame_* mapping frame labels under Map_LBZFlameThrower_ to Map_LBZFlameThrower_Frame0..Frame8, preserving the old Frame_* labels as comments on definitions.",high,patched
Map_LBZPlayerLauncher,Levels/LBZ/Misc Object Data/Map - Player Launcher.asm,"Obj_LBZPlayerLauncher assigns Map_LBZPlayerLauncher in sonic3k.asm; Lockon S3 data defines this mapping data at the matching label; SK Set 1 maps object ID 21 to Obj_LBZPlayerLauncher; LBZ debug placement references the same mapping label.","Cross-check only: ROM-backed constants and art registration identify the LBZ player launcher mapping data by verified ROM address.","Rename generic Frame_* mapping frame labels under Map_LBZPlayerLauncher_ to Map_LBZPlayerLauncher_Frame0..Frame1, preserving the old Frame_* labels as comments on definitions.",high,patched
Map_LBZCupElevator,Levels/LBZ/Misc Object Data/Map - Cup Elevator.asm,"Obj_LBZCupElevator and Obj_LBZCupElevatorPole assign Map_LBZCupElevator in sonic3k.asm; Lockon S3 data defines this mapping data at the matching label; SK Set 1 maps object IDs 24 and 25 to the cup elevator routines; LBZ debug placement references the same mapping label.","Cross-check only: ROM-backed constants and art registration identify the LBZ cup elevator mapping data by verified ROM address.","Rename generic Frame_* mapping frame labels under Map_LBZCupElevator_ to Map_LBZCupElevator_Frame0..Frame4, preserving the old Frame_* labels as comments on definitions.",high,patched
Map_LBZSpinLauncher,Levels/LBZ/Misc Object Data/Map - Spin Launcher.asm,"Obj_LBZSpinLauncher assigns Map_LBZSpinLauncher in sonic3k.asm; Lockon S3 data defines this mapping data at the matching label; SK Set 1 maps object ID 30 to Obj_LBZSpinLauncher; LBZ debug placement references the same mapping label.","Cross-check only: ROM-backed constants and art registration identify the LBZ spin launcher mapping data by verified ROM address.","Rename generic Frame_* mapping frame label under Map_LBZSpinLauncher_ to Map_LBZSpinLauncher_Frame0, preserving the old Frame_* label as a comment on the definition.",high,patched
Map_LBZGateLaser,Levels/LBZ/Misc Object Data/Map - Gate Laser.asm,"Obj_LBZGateLaser assigns Map_LBZGateLaser in sonic3k.asm; Lockon S3 data defines this mapping data at the matching label; SK Set 1 maps object ID 33 to Obj_LBZGateLaser; LBZ debug placement references the same mapping label.","Cross-check only: ROM-backed constants and art registration identify the LBZ gate laser mapping data by verified ROM address.","Rename generic Frame_* mapping frame labels under Map_LBZGateLaser_ to Map_LBZGateLaser_Frame0..Frame2, preserving the old Frame_* labels as comments on definitions.",high,patched
Map_LBZBreakableWall,Levels/LBZ/Misc Object Data/Map - Breakable Wall.asm,"Obj_BreakableWall assigns Map_LBZBreakableWall in sonic3k.asm; Lockon S3 data defines this mapping data at the matching label; SK Set 1 maps object ID 13 to Obj_BreakableWall; LBZ debug placement references the same mapping label.","Cross-check only: ROM-backed constants and art registration identify the LBZ breakable wall mapping data by verified ROM address.","Rename generic Frame_* mapping frame labels under Map_LBZBreakableWall_ to Map_LBZBreakableWall_Frame0..Frame1, preserving the old Frame_* labels as comments on definitions.",high,patched
Map_LBZExplodingTrigger,Levels/LBZ/Misc Object Data/Map - Exploding Trigger.asm,"Obj_LBZExplodingTrigger assigns Map_LBZExplodingTrigger in sonic3k.asm; Lockon S3 data defines this mapping data at the matching label; SK Set 1 maps object ID 19 to Obj_LBZExplodingTrigger; LBZ debug placement references the same mapping label.","Cross-check only: ROM-backed constants and art registration identify the LBZ exploding trigger mapping data by verified ROM address.","Rename generic Frame_* mapping frame label under Map_LBZExplodingTrigger_ to Map_LBZExplodingTrigger_Frame0, preserving the old Frame_* label as a comment on the definition.",high,patched
Map_LBZSmashingSpikes,Levels/LBZ/Misc Object Data/Map - Smashing Spikes.asm,"Obj_MGZLBZSmashingPillar assigns Map_LBZSmashingSpikes in sonic3k.asm; Lockon S3 data defines this mapping data at the matching label; SK Set 1 maps object ID 32 to Obj_MGZLBZSmashingPillar; LBZ debug placement references the same mapping label.","Cross-check only: ROM-backed constants and art registration identify the LBZ smashing spikes mapping data by verified ROM address.","Rename generic Frame_* mapping frame label under Map_LBZSmashingSpikes_ to Map_LBZSmashingSpikes_Frame0, preserving the old Frame_* label as a comment on the definition.",high,patched
Map_LBZCorkFloor,Levels/LBZ/Misc Object Data/Map - Cork Floor.asm,"Obj_CorkFloor assigns Map_LBZCorkFloor in sonic3k.asm; Lockon S3 data defines this mapping data at the matching label; SK Set 1 maps object ID 42 to Obj_CorkFloor; LBZ debug placement references the same mapping label.","Cross-check only: ROM-backed constants and art registration identify the LBZ cork floor mapping data by verified ROM address.","Rename generic Frame_* mapping frame labels under Map_LBZCorkFloor_ to Map_LBZCorkFloor_Frame0..Frame1, preserving the old Frame_* labels as comments on definitions.",high,patched
Map_LBZCollapsingBridge,Levels/LBZ/Misc Object Data/Map - Collapsing Bridge.asm,"Obj_CollapsingBridge assigns Map_LBZCollapsingBridge in sonic3k.asm; Lockon S3 data defines this mapping data at the matching label; SK Set 1 maps object ID 15 to Obj_CollapsingBridge; LBZ debug placement references the same mapping label.","Cross-check only: ROM-backed constants and art registration identify the LBZ collapsing bridge mapping data by verified ROM address.","Rename generic Frame_* mapping frame labels under Map_LBZCollapsingBridge_ to Map_LBZCollapsingBridge_Frame0..Frame2, preserving the old Frame_* labels as comments on definitions.",high,patched
